from,to,line,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
돌곶이,석계,6,39230,72437,36904,98921,26709,94040,20225,58135
석계,태릉입구,6,34604,34216,37648,49885,23396,47707,17367,29311
태릉입구,화랑대(서울여대입구),6,24866,23212,21522,42591,11143,38323,8980,23129
화랑대(서울여대입구),봉화산(서울의료원),6,15677,22498,14380,35566,7641,36564,5586,22383
봉화산(서울의료원),신내,6,1965,2434,2010,2607,1181,2104,814,1158
장암,도봉산,7,42414,36617,32439,48344,17519,54854,10518,34737
도봉산,수락산,7,23015,31233,23515,45587,14350,50741,9781,33340
수락산,마들,7,15581,29202,13835,42390,8588,46473,5885,29043
마들,노원,7,88585,116370,95730,166678,66696,148279,67624,84385
노원,중계,7,27155,33879,23163,50860,13110,52817,9719,32348
중계,하계,7,38330,42389,34110,63749,20655,65335,15774,39357
하계,공릉(서울과학기술대),7,28225,29317,30474,43729,17844,43358,14747,26021
공릉(서울과학기술대),태릉입구,7,34604,34216,37648,49885,23396,47707,17367,29311
태릉입구,먹골,7,17209,26949,18444,39741,11719,39275,7996,23202
먹골,중화,7,19318,28586,22827,41207,14460,40387,9605,24636
중화,상봉(시외버스터미널),7,46966,57338,52695,85144,36817,82628,27886,47578
상봉(시외버스터미널),면목,7,28088,43287,26848,59473,21305,57429,14253,34096
면목,사가정,7,29015,41026,28876,61826,21776,56312,15252,33979
사가정,용마산,7,10279,14861,9162,22730,6371,21383,3796,13534
용마산,중곡,7,20940,23197,18248,34101,12521,32786,7763,19338
중곡,군자(능동),7,49577,59834,63507,94986,41791,79147,31740,45807
군자(능동),어린이대공원(세종대),7,59255,25824,53908,33804,29302,26314,25286,17140
어린이대공원(세종대),건대입구,7,140141,166938,155664,252716,120500,195427,122980,111922
건대입구,뚝섬유원지,7,23867,31617,27462,37956,23003,30655,20375,17828
뚝섬유원지,청담,7,63664,26130,117834,30773,69870,21310,40049,14202
청담,강남구청,7,67757,41893,144387,47568,83991,34239,53317,20178
강남구청,학동,7,63038,24269,167940,24657,83497,16924,43135,10790
학동,논현,7,51195,31761,109896,41864,65693,29301,42597,15934
논현,반포,7,18421,12385,22082,14575,14787,10716,11351,6607
반포,고속터미널,7,281870,244264,286949,266759,249402,183899,273786,112185
고속터미널,내방,7,37000,26749,75320,35030,30253,25889,22105,15631
내방,총신대입구(이수),7,41738,65181,51815,95053,32195,69477,28272,39268
총신대입구(이수),남성,7,17999,28284,20003,44074,12229,36708,10138,23029
남성,숭실대입구(살피재),7,39666,33273,32892,53891,22176,45873,19401,27600
숭실대입구(살피재),상도,7,26492,25786,27037,42624,15018,34053,12402,21624
상도,장승배기,7,17674,26439,20595,40344,11907,33406,9273,20600
장승배기,신대방삼거리,7,27139,37227,36043,63740,19535,55721,15622,34800
신대방삼거리,보라매,7,23354,18646,37006,30366,15281,24639,11370,14104
보라매,신풍,7,24012,29070,23955,42319,14022,33439,9599,20185
신풍,대림(구로구청),7,78838,114438,96677,125750,56842,95129,43050,65951
대림(구로구청),남구로,7,35996,44631,84728,41877,39926,29048,22197,19472
남구로,가산디지털단지,7,216756,65510,468145,75844,204855,57172,116396,32476
가산디지털단지,철산,7,40535,64092,44825,105858,27261,98541,23832,52619
철산,광명사거리,7,43999,66955,42249,106239,29108,90041,21653,51519
광명사거리,천왕,7,15528,22370,14780,38402,8649,37482,5826,22221
천왕,온수(성공회대입구),7,40196,41103,34191,70652,17414,64075,14083,38552
온수(성공회대입구),까치울,7,13086,19737,13303,31276,8116,27807,5953,17958
까치울,부천종합운동장,7,9620,9542,12437,15180,5710,14254,3557,8618
부천종합운동장,춘의,7,26802,14608,45653,21989,17360,20829,12048,13500
춘의,신중동,7,30811,32823,45882,50352,22029,51466,22648,26582
신중동,부천시청,7,28257,29517,30299,46975,20646,45898,20769,24368
부천시청,상동,7,30586,35656,36193,51922,23390,48949,20733,27051
상동,삼산체육관,7,9775,13192,7993,20268,5208,18238,3534,11873
삼산체육관,굴포천,7,14851,25091,16473,41760,9613,41387,7251,25182
굴포천,부평구청,7,21042,21108,18636,39036,11547,42286,7992,26333
부평구청,산곡,7,,,,,,,,
산곡,석남,7,,,,,,,,
암사,천호(풍납토성),8,88170,107838,104901,154881,71981,124712,63745,69014
천호(풍납토성),강동구청,8,20643,25661,29839,37412,12884,31456,8718,19195
강동구청,몽촌토성(평화의문),8,18630,11417,25681,14777,11776,11080,8520,7386
몽촌토성(평화의문),잠실(송파구청),8,268940,231497,368330,312427,264048,223094,247370,134890
잠실(송파구청),석촌,8,31296,36742,36952,55513,22520,46393,18217,27112
석촌,송파,8,17637,22594,20324,32810,10565,29201,7178,17614
송파,가락시장,8,40929,42116,63801,55968,29546,44819,24593,28176
가락시장,문정,8,54671,26019,128083,34711,46796,29869,29553,17587
문정,장지,8,41412,39312,59356,58019,32777,46651,24992,26875
장지,복정,8,29271,22972,31387,35586,18600,30809,13098,20807
복정,산성,8,14802,13518,10632,20092,5399,18050,3644,12835
산성,남한산성입구(성남병원.검찰청),8,,,,,,,,
남한산성입구(성남병원.검찰청),단대오거리,8,22112,25535,25891,40014,13441,34760,9514,23435
단대오거리,신흥,8,9712,14184,9088,19363,5789,16620,4729,10619
신흥,수진,8,13016,11879,10376,17880,5992,14984,4994,8982
수진,모란,8,66475,64182,63887,87324,37318,72250,26437,49062
개화,김포공항,9,78522,69407,103055,73088,70730,46288,60308,21639
김포공항,공항시장,9,5336,8252,5195,10924,3284,11344,2798,7082
공항시장,신방화,9,10613,16640,11343,25351,6621,24313,5250,15661
신방화,마곡나루,9,61660,28683,68327,44449,30683,41113,23013,25369
마곡나루,양천향교,9,21002,17406,28370,25212,12109,26847,7603,17464
양천향교,가양,9,44408,46669,48841,72715,24706,68844,17447,43916
가양,중미,9,,,,,,,,
중미,등촌,9,19609,25508,19811,39783,10088,37664,7698,20638
등촌,염창,9,25422,41390,29665,71258,15518,68701,12093,43916
염창,신목동,9,7786,8895,7613,14581,3671,12470,2813,8460
신목동,선유도,9,18872,12258,34145,19168,13405,16087,8195,9622
선유도,당산,9,92270,97471,129125,150952,70667,121015,51585,81492
당산,국회의사당,9,62608,23140,121407,21900,49049,11820,37148,6669
국회의사당,여의도,9,223752,65637,333852,84043,137622,49052,106182,25613
여의도,샛강,9,17584,11120,27383,14517,11067,9840,11542,5221
샛강,노량진,9,85504,104547,111974,158024,66691,114225,68114,69551
노량진,노들,9,8861,12156,8436,18200,5030,15047,7333,9219
노들,흑석(중앙대입구),9,30423,22818,27041,32825,16122,25899,14219,16888
흑석(중앙대입구),동작(현충원),9,12262,10524,13234,14349,7093,11131,7431,7592
동작(현충원),구반포,9,7713,7593,9935,9790,5906,7791,4345,4663
구반포,신반포,9,9055,8028,10229,10117,6366,8612,5338,4928
신반포,고속터미널,9,281870,244264,286949,266759,249402,183899,273786,112185
고속터미널,사평,9,7800,7815,8026,11053,4990,9192,3116,5871
사평,신논현,9,88244,75386,123154,112318,88278,87672,71232,44979
신논현,언주,9,31235,13303,49909,16288,25122,13593,15355,8451
언주,선정릉,9,45985,26409,95706,30963,55445,22894,30175,14049
선정릉,삼성중앙,9,17349,9654,36439,12677,18020,9645,10220,5992
삼성중앙,봉은사,9,66210,27018,97782,29700,53857,20589,38932,11436
봉은사,종합운동장,9,62230,78082,48878,79426,34592,46497,39718,26415
종합운동장,삼전,9,10131,13982,12215,21784,7071,20266,5541,12917
삼전,석촌고분,9,9398,11857,11358,17749,6001,16483,4470,11214
석촌고분,석촌,9,31296,36742,36952,55513,22520,46393,18217,27112
석촌,송파나루,9,7953,10436,10765,16245,6327,13616,5360,7019
송파나루,한성백제,9,7073,4858,8114,5956,3708,5812,2707,3492
한성백제,올림픽공원(한국체대),9,35480,28020,36321,31776,21185,27838,19744,17124
올림픽공원(한국체대),둔촌오륜,9,2399,1754,2467,2821,1213,2475,905,1553
둔촌오륜,중앙보훈병원,9,19638,14085,14985,24834,7764,22628,5740,13630
서울역,공덕,인천국제공항철도,109679,76972,200920,120230,84530,78782,64670,46085
공덕,홍대입구,인천국제공항철도,235063,264995,281212,343599,226023,283148,216938,169265
홍대입구,디지털미디어시티,인천국제공항철도,80572,51946,160597,78042,71720,62824,44111,38211
디지털미디어시티,마곡나루,인천국제공항철도,61660,28683,68327,44449,30683,41113,23013,25369
마곡나루,김포공항,인천국제공항철도,78522,69407,103055,73088,70730,46288,60308,21639
김포공항,계양,인천국제공항철도,12862,23199,11415,41399,6865,44358,5002,29519
계양,검암,인천국제공항철도,12790,17365,17332,30251,7063,33572,5590,21810
검암,청라국제도시,인천국제공항철도,14055,14244,20742,21978,6556,26847,4572,15931
청라국제도시,영종,인천국제공항철도,5739,7610,4728,9258,2873,10603,2089,7395
영종,운서,인천국제공항철도,17578,16892,15427,24133,8941,20825,8243,17113
운서,공항화물청사,인천국제공항철도,10467,1604,20579,1089,5342,2982,3605,3427
공항화물청사,인천공항1터미널,인천국제공항철도,40682,29785,40396,27502,27209,25201,24448,20974
인천공항1터미널,인천공항2터미널,인천국제공항철도,20929,11113,22050,6223,11063,3404,8559,2341
임진강,문산,경의·중앙선,14697,13531,14053,17515,6715,17155,5190,12712
문산,파주,경의·중앙선,8433,1911,6208,2064,2292,2187,1485,1912
파주,월롱,경의·중앙선,10765,3039,15487,3263,5572,3522,4355,2991
월롱,금촌,경의·중앙선,16247,18850,19337,21010,10249,22297,7432,12860
금촌,금릉,경의·중앙선,10386,14440,10594,16938,5771,17178,4695,9317
금릉,운정,경의·중앙선,11316,17196,10399,22776,5226,23730,4115,13510
운정,야당,경의·중앙선,10126,17112,9531,20623,6087,21928,5514,12193
야당,탄현,경의·중앙선,12070,21811,13665,28862,7314,35488,5796,19190
탄현,일산,경의·중앙선,15313,23614,14003,34819,7611,38852,5952,22268
일산,풍산,경의·중앙선,9546,13452,9138,19687,5424,19035,4430,13135
풍산,백마,경의·중앙선,12087,14818,13568,26497,5909,27346,4205,16609
백마,곡산,경의·중앙선,1863,1085,2157,1832,722,1418,530,874
곡산,대곡,경의·중앙선,4355,3157,5810,4598,2563,4124,1467,2407
대곡,능곡,경의·중앙선,6527,9928,6820,12711,3887,11556,2811,7846
능곡,행신,경의·중앙선,14099,20996,12653,35501,7381,36127,7097,16603
행신,강매,경의·중앙선,3623,7183,3957,10383,1762,12035,1219,6957
강매,화전,경의·중앙선,10593,3657,9909,4426,5121,4367,3890,3246
화전,수색,경의·중앙선,8562,3760,15552,3349,6449,2467,3677,1733
수색,디지털미디어시티,경의·중앙선,80572,51946,160597,78042,71720,62824,44111,38211
디지털미디어시티,가좌,경의·중앙선,10662,14133,11101,16803,6114,17219,4764,9709
가좌,홍대입구,경의·중앙선,235063,264995,281212,343599,226023,283148,216938,169265
홍대입구,서강대,경의·중앙선,6718,4574,7586,5530,4756,4377,4525,2717
서강대,공덕,경의·중앙선,109679,76972,200920,120230,84530,78782,64670,46085
공덕,효창공원앞,경의·중앙선,24750,19959,40008,29219,19838,21919,12063,14499
효창공원앞,용산,경의·중앙선,131048,84332,175955,102343,110708,68905,112654,46650
용산,이촌(국립중앙박물관),경의·중앙선,46872,33505,45460,43774,22239,32396,20731,18559
이촌(국립중앙박물관),서빙고,경의·중앙선,6978,4466,7848,5468,3406,4846,3028,2606
서빙고,한남,경의·중앙선,15386,9120,18359,10482,9735,7717,7275,4977
한남,옥수,경의·중앙선,20711,27652,21792,39338,14373,31407,10607,22550
옥수,응봉,경의·중앙선,3547,5000,3449,6147,2066,5911,1351,3633
응봉,왕십리(성동구청),경의·중앙선,97572,103221,108727,164778,75098,123470,70654,73598
왕십리(성동구청),청량리(서울시립대입구),경의·중앙선,109522,102113,95179,123920,64677,95842,64656,54536
청량리(서울시립대입구),회기,경의·중앙선,80168,65856,72382,89550,44427,77319,37966,48033
회기,중랑,경의·중앙선,8379,15280,9396,23096,5995,20683,4129,12002
중랑,삼봉,경의·중앙선,,,,,,,,
삼봉,망우,경의·중앙선,15781,22658,16315,30729,11314,27123,7882,15064
망우,양원,경의·중앙선,4386,3684,3337,4354,1752,4241,1197,2717
양원,구리,경의·중앙선,28328,39619,27277,55301,16511,53025,14710,31511
구리,도농,경의·중앙선,18161,23587,15208,37816,7741,37840,5550,22606
도농,양정,경의·중앙선,3817,1273,3979,1971,1583,1696,723,944
양정,덕소,경의·중앙선,10078,17821,9328,21752,5655,26575,4138,15618
덕소,도심,경의·중앙선,4512,6567,4559,8015,1933,7897,1487,4360
도심,팔당,경의·중앙선,4082,2397,3166,2207,2318,1534,1692,822
팔당,운길산,경의·중앙선,4902,1462,2725,1364,1105,1364,794,931
운길산,양수,경의·중앙선,6609,5694,5238,4691,2949,4903,2170,4881
양수,신원,경의·중앙선,824,429,651,478,333,319,192,320
신원,국수,경의·중앙선,1737,1608,1202,2413,677,1799,450,1937
국수,아신,경의·중앙선,2130,1868,1451,2260,1103,1746,621,1447
아신,오빈,경의·중앙선,891,1092,591,1093,233,807,157,612
오빈,양평,경의·중앙선,23050,21647,39956,30551,15383,24046,9664,17140
양평,원덕,경의·중앙선,883,1355,869,1166,352,795,213,786
원덕,용문,경의·중앙선,8967,5944,5117,4734,2829,3445,1454,4164
용문,지평,경의·중앙선,0,3,57,96,102,144,20,1
서울역,신촌,경의·중앙선,134549,112704,138925,155936,102014,115691,99920,64031
신촌,서울역,경의·중앙선,285787,197502,432083,205334,235908,157095,171212,116898
청량리(서울시립대입구),회기,경춘선,80168,65856,72382,89550,44427,77319,37966,48033
회기,중랑,경춘선,8379,15280,9396,23096,5995,20683,4129,12002
중랑,상봉(시외버스터미널),경춘선,46966,57338,52695,85144,36817,82628,27886,47578
상봉(시외버스터미널),망우,경춘선,15781,22658,16315,30729,11314,27123,7882,15064
망우,신내,경춘선,1965,2434,2010,2607,1181,2104,814,1158
신내,갈매,경춘선,4820,6054,5132,6891,2824,11746,2043,5770
갈매,별내,경춘선,7648,6890,6528,7399,3685,8484,3058,4899
별내,퇴계원,경춘선,5328,9815,6541,14812,3695,13530,2331,8401
퇴계원,사릉,경춘선,6862,7873,8520,11936,3614,16143,2259,6788
사릉,금곡,경춘선,3574,4161,4385,4633,1592,4699,940,2247
금곡,평내호평,경춘선,10583,20348,10203,19986,6155,24290,5006,13165
평내호평,천마산,경춘선,2150,5033,2304,5624,993,5994,761,4283
천마산,마석,경춘선,7742,11870,8754,11427,3910,15409,3125,8962
마석,대성리,경춘선,2072,1600,1642,1388,814,1100,450,983
대성리,청평,경춘선,6361,6014,6547,4931,2145,4654,1462,2373
청평,상천,경춘선,1514,656,721,696,321,577,120,393
상천,가평,경춘선,11985,4509,9261,4393,3843,3751,2615,2267
가평,굴봉산,경춘선,614,251,389,205,244,155,124,140
굴봉산,백양리,경춘선,505,110,278,145,113,105,60,50
백양리,강촌,경춘선,3630,809,1853,805,886,619,490,528
강촌,김유정,경춘선,1889,772,1495,596,708,413,219,283
김유정,남춘천,경춘선,8659,8741,7032,5361,5058,9583,3663,4928
남춘천,춘천,경춘선,10304,3785,6948,2949,4306,4088,2727,2029
판교,이매,경강선,21123,18191,19005,22711,10243,19903,7913,11544
이매,삼동,경강선,3549,5688,3199,8422,1439,9073,937,5706
삼동,경기광주,경강선,11597,18694,10628,32032,5174,30491,3623,19885
경기광주,초월,경강선,5591,6019,5965,10672,2828,9188,1696,8382
초월,곤지암,경강선,9284,4975,7946,6147,3374,6470,1872,3831
곤지암,신둔도예촌,경강선,5143,3064,3753,3505,1506,3899,1035,2585
신둔도예촌,이천,경강선,6652,7449,7821,8480,4437,8625,3366,6569
이천,부발,경강선,6001,4298,6869,4167,2491,5482,2200,3758
부발,세종대왕릉,경강선,877,784,696,730,270,1181,179,519
세종대왕릉,여주,경강선,8702,4953,5723,5335,3944,7476,2391,5356
청량리(서울시립대입구),왕십리(성동구청),분당선,97572,103221,108727,164778,75098,123470,70654,73598
왕십리(성동구청),서울숲,분당선,34304,17638,42486,24193,21607,19020,13131,11029
서울숲,압구정로데오,분당선,53736,36692,84838,44261,64325,30413,53393,12384
압구정로데오,강남구청,분당선,67757,41893,144387,47568,83991,34239,53317,20178
강남구청,선정릉,분당선,45985,26409,95706,30963,55445,22894,30175,14049
선정릉,선릉,분당선,218717,88905,392753,100338,193903,68267,122701,39431
선릉,한티,분당선,41888,44137,47229,40361,30376,30152,33676,18014
한티,도곡,분당선,39336,24092,48963,27658,25417,25507,16477,16204
도곡,구룡,분당선,5220,3356,4504,3824,1846,3449,1154,2237
구룡,개포동,분당선,8586,8241,8276,11191,5113,9771,3793,6119
개포동,대모산입구,분당선,8622,6760,8833,8526,4217,7519,2887,5138
대모산입구,수서,분당선,82946,77034,107835,101584,52105,81616,47994,57157
수서,복정,분당선,29271,22972,31387,35586,18600,30809,13098,20807
복정,가천대,분당선,35757,19058,24430,27555,16735,24535,14064,17869
가천대,태평,분당선,22037,38426,23336,54694,13809,43548,10540,30430
태평,모란,분당선,66475,64182,63887,87324,37318,72250,26437,49062
모란,야탑,분당선,71851,69277,100063,91438,56777,77225,42311,48031
야탑,이매,분당선,21123,18191,19005,22711,10243,19903,7913,11544
이매,서현,분당선,74787,61639,102424,77456,64776,64223,60196,36334
서현,수내,분당선,37628,28155,53532,35357,30215,27180,29765,17187
수내,정자,분당선,41813,38146,62369,55105,37263,48484,27093,30428
정자,미금,분당선,42582,41222,48195,52787,27337,45157,22220,29793
미금,오리,분당선,28540,21477,38673,31657,17835,28040,13736,19448
오리,죽전,분당선,40390,42590,44234,54576,31400,51409,32991,33086
죽전,보정,분당선,5643,6152,4160,7326,2118,6968,1611,5014
보정,구성,분당선,8590,13995,9512,20734,4487,19231,3283,12330
구성,신갈,분당선,7988,12583,6366,17986,3008,16330,2243,11920
신갈,기흥,분당선,22624,26103,22836,38666,14201,38450,11238,26282
기흥,상갈,분당선,12769,15460,13055,18624,7834,17848,5017,14346
상갈,청명,분당선,8922,10607,10581,14403,4889,14922,3463,10488
청명,영통,분당선,27910,24424,32554,31563,16974,25456,14913,17804
영통,망포,분당선,32210,31847,46546,45780,24047,47325,17559,32053
망포,매탄권선,분당선,10304,12660,9673,17831,5290,16014,3754,10894
매탄권선,수원시청,분당선,31320,31635,39670,43107,23187,41945,21822,25250
수원시청,매교,분당선,8795,6788,5940,8900,2892,6228,1894,3923
매교,수원,분당선,146552,144183,145746,164101,124761,158713,118223,87167
수원,고색,분당선,,,,,,,,
고색,오목천,분당선,,,,,,,,
오목천,어천,분당선,,,,,,,,
어천,야목,분당선,,,,,,,,
야목,사리,분당선,,,,,,,,
사리,한대앞,분당선,21230,22030,20788,32393,11674,28410,9485,19229
한대앞,중앙,분당선,41293,47869,42573,68585,28049,62443,26884,38817
중앙,고잔,분당선,23002,19070,24552,25201,11619,22454,8648,15139
고잔,초지,분당선,12871,10515,12951,14004,6085,13818,4295,9024
초지,안산,분당선,49428,30604,54122,37093,29340,30918,24679,21748
안산,신길온천,분당선,3889,4187,4100,5952,2000,4830,1406,3705
신길온천,정왕,분당선,30610,16921,33905,23080,18745,18671,13548,14991
정왕,오이도,분당선,25873,26998,24595,35494,15946,31140,10697,22498
오이도,달월,수인선,820,100,342,135,58,52,46,50
달월,월곶,수인선,5628,7715,6630,10423,4178,7151,2803,5017
월곶,소래포구,수인선,16802,14175,12737,15725,7588,12468,5993,8253
소래포구,인천논현,수인선,14907,19333,15758,21953,10480,16068,8574,10344
인천논현,호구포,수인선,13975,7756,17885,8704,6151,7251,6542,4824
호구포,남동인더스파크,수인선,12203,1808,13897,1994,4931,2409,3961,1416
남동인더스파크,원인재,수인선,8523,13879,9249,17896,5425,13110,4188,10395
원인재,연수,수인선,11121,15185,13904,20752,7312,13644,6379,10096
연수,송도,수인선,5693,8640,5399,10771,3240,6988,1989,4450
송도,인하대,수인선,16246,16767,15341,23972,9281,13220,7415,9285
인하대,숭의,수인선,10832,9017,11739,11460,5292,8025,3321,5127
숭의,신포,수인선,6252,4294,8024,5489,3325,3186,2966,2030
신포,인천,수인선,26210,10206,22520,10471,11960,6782,8103,4924
강남,양재(서초구청),신분당선,132690,75300,227746,94410,114047,70229,83269,41573
양재(서초구청),양재시민의숲,신분당선,,,,,,,,
양재시민의숲,청계산입구,신분당선,,,,,,,,
청계산입구,판교,신분당선,11654,6891,23363,6218,17767,4666,14457,2032
판교,정자,신분당선,41813,38146,62369,55105,37263,48484,27093,30428
정자,미금,신분당선,42582,41222,48195,52787,27337,45157,22220,29793
미금,동천,신분당선,,,,,,,,
동천,수지구청,신분당선,,,,,,,,
수지구청,성복,신분당선,,,,,,,,
성복,상현,신분당선,,,,,,,,
상현,광교중앙,신분당선,,,,,,,,
광교중앙,광교,신분당선,,,,,,,,
계양,귤현,인천1,,,,,,,,
귤현,박촌,인천1,,,,,,,,
박촌,임학,인천1,,,,,,,,
임학,계산,인천1,,,,,,,,
계산,경인교대입구,인천1,,,,,,,,
경인교대입구,작전,인천1,,,,,,,,
작전,갈산,인천1,,,,,,,,
갈산,부평구청,인천1,21042,21108,18636,39036,11547,42286,7992,26333
부평구청,부평시장,인천1,,,,,,,,
부평시장,부평,인천1,76196,111082,75603,156966,58582,139987,54051,79928
부평,동수,인천1,,,,,,,,
동수,부평삼거리,인천1,,,,,,,,
부평삼거리,간석오거리,인천1,,,,,,,,
간석오거리,인천시청,인천1,,,,,,,,
인천시청,예술회관,인천1,,,,,,,,
예술회관,인천터미널,인천1,,,,,,,,
인천터미널,문학경기장,인천1,,,,,,,,
문학경기장,선학,인천1,,,,,,,,
선학,신연수,인천1,,,,,,,,
신연수,원인재,인천1,8523,13879,9249,17896,5425,13110,4188,10395
원인재,동춘,인천1,,,,,,,,
동춘,동막,인천1,,,,,,,,
동막,캠퍼스타운,인천1,,,,,,,,
캠퍼스타운,테크노파크,인천1,,,,,,,,
테크노파크,지식정보단지,인천1,,,,,,,,
지식정보단지,인천대입구,인천1,,,,,,,,
인천대입구,센트럴파크,인천1,,,,,,,,
센트럴파크,국제업무지구,인천1,,,,,,,,
국제업무지구,송도달빛축제공원,인천1,,,,,,,,
검단오류,왕길,인천2,,,,,,,,
왕길,검단사거리,인천2,,,,,,,,
검단사거리,마전,인천2,,,,,,,,
마전,완정,인천2,,,,,,,,
완정,독정,인천2,,,,,,,,
독정,검암,인천2,12790,17365,17332,30251,7063,33572,5590,21810
검암,검바위,인천2,,,,,,,,
검바위,아시아드경기장,인천2,,,,,,,,
아시아드경기장,서구청,인천2,,,,,,,,
서구청,가정,인천2,,,,,,,,
가정,가정중앙시장,인천2,,,,,,,,
가정중앙시장,석남,인천2,,,,,,,,
석남,서부여성회관,인천2,,,,,,,,
서부여성회관,인천가좌,인천2,,,,,,,,
인천가좌,가재울,인천2,,,,,,,,
가재울,주안국가산단,인천2,,,,,,,,
주안국가산단,주안,인천2,51923,52339,53502,70503,33794,74352,29563,46111
주안,시민공원,인천2,,,,,,,,
시민공원,석바위시장,인천2,,,,,,,,
석바위시장,인천시청,인천2,,,,,,,,
인천시청,석천사거리,인천2,,,,,,,,
석천사거리,모래내시장,인천2,,,,,,,,
모래내시장,만수,인천2,,,,,,,,
만수,남동구청,인천2,,,,,,,,
남동구청,인천대공원,인천2,,,,,,,,
인천대공원,운연,인천2,,,,,,,,
발곡,회룡,의정부경전철,17159,39954,15851,46506,9861,50799,7705,31939
회룡,범골,의정부경전철,,,,,,,,
범골,경전철의정부,의정부경전철,,,,,,,,
경전철의정부,의정부시청,의정부경전철,,,,,,,,
의정부시청,흥선,의정부경전철,,,,,,,,
흥선,의정부중앙,의정부경전철,,,,,,,,
의정부중앙,동오,의정부경전철,,,,,,,,
동오,새말,의정부경전철,,,,,,,,
새말,경기도청북부청사,의정부경전철,,,,,,,,
경기도청북부청사,효자,의정부경전철,,,,,,,,
효자,곤제,의정부경전철,,,,,,,,
곤제,어룡,의정부경전철,,,,,,,,
어룡,송산,의정부경전철,,,,,,,,
송산,탑석,의정부경전철,,,,,,,,
기흥,강남대,에버라인,,,,,,,,
강남대,지석,에버라인,,,,,,,,
지석,어정,에버라인,,,,,,,,
어정,동백,에버라인,,,,,,,,
동백,초당,에버라인,,,,,,,,
초당,삼가,에버라인,,,,,,,,
삼가,시청·용인대,에버라인,,,,,,,,
시청·용인대,명지대,에버라인,,,,,,,,
명지대,김량장,에버라인,,,,,,,,
김량장,운동장·송담대,에버라인,,,,,,,,
운동장·송담대,고진,에버라인,,,,,,,,
고진,보평,에버라인,,,,,,,,
보평,둔전,에버라인,,,,,,,,
둔전,전대·에버랜드,에버라인,,,,,,,,
북한산우이,솔밭공원,우이신설,4317,5810,3143,7510,2022,7979,1265,5182
솔밭공원,4·19민주묘지,우이신설,,,,,,,,
4·19민주묘지,가오리,우이신설,6471,10664,5531,14411,3578,14959,2461,9308
가오리,화계,우이신설,5177,7965,4536,10910,3448,10493,1976,6106
화계,삼양,우이신설,3227,5435,3170,7272,2030,6800,1405,4237
삼양,삼양사거리,우이신설,4131,6589,3903,8534,2922,7536,2060,4259
삼양사거리,솔샘,우이신설,6738,13864,5880,22892,3717,23073,2505,13665
솔샘,북한산보국문,우이신설,12110,14502,11998,21001,7120,19663,4680,12679
북한산보국문,정릉,우이신설,8762,11040,9004,16015,5198,13264,3352,8289
정릉,성신여대입구(돈암),우이신설,66904,66929,73500,92577,49631,79689,42720,48695
성신여대입구(돈암),보문,우이신설,19151,18680,24671,27730,13602,23021,10016,15019
보문,신설동,우이신설,69110,40053,102295,43168,43462,32733,27005,22211
소사,소새울,서해선,,,,,,,,
소새울,시흥대야,서해선,,,,,,,,
시흥대야,신천,서해선,,,,,,,,
신천,신현,서해선,,,,,,,,
신현,시흥시청,서해선,,,,,,,,
시흥시청,시흥능곡,서해선,,,,,,,,
시흥능곡,달미,서해선,,,,,,,,
달미,선부,서해선,,,,,,,,
선부,초지,서해선,12871,10515,12951,14004,6085,13818,4295,9024
초지,원곡,서해선,,,,,,,,
원곡,원시,서해선,,,,,,,,
